IDM accuracy,IDM loss,RND loss,actor_episodes,actor_steps,extrinsic UVFA loss,intrinsic UVFA loss,learner_steps,learner_time_elapsed
0.765625,0.7220587,0.00017252062,84101,15804460,0.000105431805,19.658802,11150,5900.298269271851
0.621875,1.1351172,0.00013434431,84107,15809145,7.0869835e-05,13.533216,11151,5900.810205221176
0.69687504,0.9560343,0.00016612385,84110,15809439,6.396888e-05,12.238583,11153,5901.494816064835
0.6875,1.0109361,0.0001573365,84111,15809523,9.24741e-05,15.153363,11154,5901.784883260727
0.734375,0.87801266,0.00016142295,84111,15809523,0.00016153455,27.266838,11156,5903.938871860504
0.70625,1.0210469,0.00017344514,84122,15812719,8.028354e-05,16.26233,11157,5904.488621711731
0.771875,0.81875324,0.00019495482,84122,15812719,0.00013656652,21.375515,11160,5905.676383733749
0.709375,0.8738217,0.00015622417,84122,15812719,7.6764074e-05,10.057573,11162,5906.685632228851
0.753125,0.86298496,0.0001623129,84122,15812719,0.0001134097,14.243172,11164,5908.00813627243
0.7,0.9473719,0.0001477948,84127,15814132,9.464273e-05,12.260895,11165,5908.786547899246
0.778125,0.70070773,0.00017695362,84140,15819422,0.0001054679,18.28863,11166,5909.097741127014
0.7375,0.7922919,0.00014652987,84143,15822075,7.9177946e-05,12.205027,11167,5909.322688817978
0.6875,0.9226266,0.00015941128,84144,15822162,0.0001352024,21.280527,11168,5909.641622543335
0.6875,0.9427069,0.00017503851,84144,15822162,8.048747e-05,10.366298,11169,5910.54806303978
0.721875,0.9524172,0.00016766631,84144,15822162,9.512259e-05,14.227798,11170,5910.860158920288
0.75625,0.7026695,0.0001419109,84145,15822220,6.933358e-05,15.649601,11171,5911.224917888641
0.75,0.778994,0.00015692116,84146,15824360,0.0001102963,25.765926,11172,5911.4064774513245
0.725,0.8677802,0.00018416312,84150,15826273,6.4388354e-05,9.706683,11173,5911.690534114838
0.703125,0.9382555,0.00015576153,84151,15826663,0.000100570775,24.619055,11175,5912.572914600372
0.61875004,1.082342,0.0001632939,84154,15827840,6.500252e-05,12.3936825,11176,5912.911046504974
0.671875,0.87214535,0.00016365746,84156,15828084,9.638454e-05,13.572962,11177,5913.297721624374
0.76875,0.7153949,0.0001582267,84157,15829479,8.124343e-05,15.238083,11179,5913.879274368286
0.703125,0.89471143,0.00018438358,84160,15829760,0.00010763344,20.968903,11180,5914.136263132095
0.66875,1.0286463,0.00019647168,84163,15830236,8.622326e-05,20.34012,11181,5914.429899215698
0.74375004,0.80482924,0.00016677742,84172,15832233,0.00011148247,16.325813,11182,5914.577663898468
0.75937504,0.79039896,0.00017776323,84174,15832568,7.1970455e-05,17.420364,11183,5915.079442501068
0.653125,1.0001391,0.00017764258,84177,15833127,9.939935e-05,14.0777445,11184,5915.283627748489
0.765625,0.7363207,0.00016921852,84178,15833191,9.1316266e-05,15.335426,11185,5915.618937969208
0.771875,0.82089883,0.00017625377,84185,15834217,0.0001097917,14.455526,11186,5915.983116149902
0.746875,0.75523585,0.00018717954,84185,15834217,6.300971e-05,13.789021,11190,5917.318316459656
0.703125,0.88509935,0.00021693856,84185,15834217,9.831706e-05,14.037916,11193,5918.591420173645
0.69687504,0.88679755,0.00015059537,84186,15836076,8.994262e-05,16.570076,11194,5919.016875982285
0.740625,0.84643525,0.00016832857,84190,15837634,9.317411e-05,20.815435,11195,5919.241607666016
0.7625,0.7906291,0.00017621765,84190,15837634,0.00010444668,20.621386,11196,5919.52620100975
0.753125,0.8455042,0.0001899393,84190,15837634,6.405017e-05,12.728656,11197,5919.831950187683
0.7375,0.8170382,0.0001691908,84206,15840216,0.000107811284,21.472149,11198,5920.09694814682
0.715625,0.8841425,0.00015212505,84210,15840460,4.716916e-05,7.9175653,11199,5920.967755317688
0.71875,0.84914607,0.00017164423,84210,15840460,6.925104e-05,12.322346,11200,5921.343962192535
0.66562504,0.97423214,0.00017486679,84211,15840512,0.00012746225,25.762295,11201,5921.628550767899
0.75625,0.8263146,0.00015802037,84214,15842528,0.00011887113,15.24872,11202,5922.329402685165
0.715625,0.8518923,0.00017072934,84220,15843155,0.00016025378,29.992712,11203,5922.5219304561615
0.70625,0.8429777,0.0001684608,84220,15843155,0.00072308315,17.139824,11205,5923.147266864777
0.796875,0.6906624,0.0001562445,84223,15848011,7.736443e-05,14.837029,11206,5923.437662601471
0.740625,0.8078362,0.00016664507,84224,15848069,0.00015239573,22.371973,11207,5923.929143667221
0.71875,0.85346556,0.0001782351,84225,15848277,0.00014738178,21.238083,11208,5924.259490728378
0.721875,0.8512832,0.00018998006,84226,15855027,0.00021241665,15.112317,11209,5924.949515581131
0.746875,0.8045956,0.00018308288,84227,15855092,0.00011544471,19.071028,11210,5925.507118701935
0.76875,0.76455975,0.00017973215,84229,15855492,8.1686674e-05,18.549892,11211,5926.217632055283
0.725,0.7736622,0.00016341382,84234,15856096,0.000114035516,19.43957,11212,5926.630162239075
0.721875,0.8362059,0.00016609227,84235,15856776,0.00016474922,25.303024,11213,5926.9223375320435
0.75937504,0.72229904,0.0001627463,84242,15864101,0.00012209849,19.937061,11214,5927.215015411377
0.72812504,0.8064882,0.00017178767,84243,15864197,0.00012651205,22.766846,11215,5927.55867600441
0.746875,0.85039485,0.00017893751,84250,15866774,0.00016576782,27.262089,11216,5927.759585142136
0.75,0.8561992,0.00016775854,84257,15869205,0.00011278177,17.038101,11217,5928.055926322937
0.75625,0.8138553,0.00017047462,84258,15869378,0.00011285474,21.096462,11220,5929.131578445435
0.765625,0.78813523,0.00014327238,84259,15871277,9.07459e-05,17.360645,11222,5929.901172161102
0.69687504,0.95973605,0.00016138815,84260,15874343,0.00011250733,18.13966,11223,5930.1170473098755
0.73125,0.77122843,0.00016084207,84260,15874343,6.587709e-05,13.436075,11224,5930.340562105179
0.71875,0.88420355,0.00016724235,84260,15874343,5.644148e-05,10.710305,11225,5930.900585651398
0.684375,0.9323576,0.00015890636,84260,15874343,0.000110167486,17.8485,11226,5931.2754735946655
0.75,0.80433905,0.00015162381,84260,15874343,0.00016539515,20.126816,11227,5931.591706752777
0.746875,0.80862486,0.00015015573,84262,15874706,0.00010554442,14.956568,11228,5931.803509712219
0.70625,0.8556374,0.00017722466,84268,15876108,0.00011817351,19.446629,11229,5932.317909479141
0.715625,0.93816435,0.00016974681,84272,15880524,8.968528e-05,13.795129,11230,5932.607940196991
0.74375004,0.8877155,0.0001631205,84278,15881347,8.593174e-05,18.222914,11231,5932.7896864414215
0.68125004,0.9694585,0.00017937657,84279,15881414,0.000109990826,20.718897,11232,5933.019917726517
0.70625,0.89251566,0.00015317563,84281,15881715,9.703745e-05,16.453909,11233,5933.690355539322
0.725,0.89923364,0.00020750126,84290,15893181,0.00010033912,16.022152,11234,5934.290773630142
0.75,0.78572,0.00016557072,84291,15893238,9.546477e-05,16.53339,11235,5934.704360246658
0.75937504,0.79709816,0.00015748326,84292,15893293,0.000100336016,14.35445,11236,5935.403007268906
0.71875,0.8716919,0.00017629759,84294,15893655,0.000115358205,18.30619,11238,5936.378237247467
0.76875,0.7345709,0.00016998702,84294,15893655,0.000109138295,15.978425,11239,5936.525683164597
0.72812504,0.8287695,0.0001649623,84297,15898676,0.00011759865,22.350945,11240,5938.054794073105
0.740625,0.7593855,0.00019682606,84299,15901947,0.00010258593,42.278545,11241,5938.463266611099
0.675,1.0444115,0.0001538373,84299,15901947,9.69042e-05,15.670792,11242,5938.824434518814
0.771875,0.67177165,0.00017887706,84304,15905394,7.959248e-05,11.0853195,11243,5939.186506271362
0.7625,0.76316947,0.00016432635,84304,15905394,0.00012198586,21.884443,11244,5939.526235580444
0.72812504,0.82011986,0.00016796059,84307,15906495,0.00015305003,28.61657,11245,5939.8020486831665
0.69375,0.956634,0.00016896977,84309,15906723,8.894083e-05,16.237923,11246,5940.185443639755
0.69687504,0.9346613,0.00019131372,84316,15908093,8.794666e-05,15.402011,11247,5940.478278636932
0.684375,0.8808548,0.00015952066,84316,15908093,9.298483e-05,15.005612,11249,5941.678075551987
0.684375,0.9140391,0.00015156018,84316,15908093,8.2685125e-05,13.856485,11250,5942.100488185883
0.740625,0.80854934,0.000152721,84319,15908335,9.62795e-05,12.991565,11251,5942.389451980591
0.79062504,0.7952168,0.00017880341,84320,15908396,0.00019563374,27.895031,11252,5943.535648822784
0.8,0.71637255,0.00016117499,84320,15908396,0.00019216213,39.012802,11254,5944.402152299881
0.74375004,0.80245537,0.00015058351,84321,15908784,9.850834e-05,18.40861,11257,5945.871608018875
0.809375,0.6584668,0.0001439348,84326,15911776,7.52946e-05,14.694206,11258,5946.413122415543
0.771875,0.80211174,0.0001856186,84332,15920554,5.69692e-05,13.861223,11259,5946.774191617966
0.6625,0.97326607,0.00014719488,84339,15935461,0.00018025789,24.960781,11260,5947.020550966263
0.7375,0.9018469,0.000160576,84348,15938439,6.397472e-05,11.222025,11261,5948.121484518051
0.75625,0.7839106,0.00016459163,84348,15938439,0.00012751584,20.731548,11262,5948.52879524231
0.71875,0.9154709,0.00016921233,84348,15938439,9.070656e-05,16.965385,11263,5948.733140468597
0.73125,0.78542703,0.00016127511,84352,15939338,8.758369e-05,16.214277,11264,5949.605232477188
0.78125,0.7148405,0.00016193333,84356,15940906,6.5126e-05,13.730457,11265,5950.50440454483
0.7375,0.85198146,0.00015247408,84361,15942571,7.629495e-05,19.489676,11267,5952.822172403336
0.725,0.88393146,0.00016421112,84361,15942571,9.824964e-05,17.063469,11268,5953.2049605846405
0.74375004,0.78303593,0.00016929739,84362,15942641,0.000112989335,23.970966,11269,5953.7353501319885
0.74375004,0.82939893,0.00018216738,84363,15943364,6.980545e-05,16.153015,11270,5954.226293802261
0.75937504,0.78394794,0.000156961,84366,15950557,9.795974e-05,16.311733,11271,5954.71878194809
0.73125,0.82937807,0.00016115494,84370,15950962,0.00014506103,18.661228,11272,5955.116869926453
0.753125,0.78625405,0.00018401643,84370,15950962,0.00015452577,23.93216,11273,5955.388886928558
0.75625,0.77112657,0.00017192824,84372,15951244,7.813397e-05,16.76621,11274,5955.809983730316
0.771875,0.7697555,0.00016086253,84383,15955586,0.00010131785,18.786224,11275,5956.359832048416
0.75,0.80378264,0.00017749231,84394,15962155,6.3276144e-05,9.597176,11276,5956.8776297569275
