IDM accuracy,IDM loss,RND loss,actor_episodes,actor_steps,evaluator_episodes,evaluator_steps,extrinsic UVFA loss,intrinsic UVFA loss,learner_steps,learner_time_elapsed
0.63437504,0.98222965,0.00019822945,174543,74716376,1678,1212096,0.00438114,23.535852,55710,27447.88275718689
0.59375,1.0741068,0.00017022438,174547,74724225,1678,1212096,0.004728663,20.66128,55711,27448.325457811356
0.590625,1.0428666,0.00021295482,174549,74724651,1678,1212096,0.0060768933,38.501812,55712,27448.61388349533
0.565625,1.0892025,0.00015999092,174551,74725755,1678,1212096,0.003139539,28.553396,55713,27449.031167030334
0.615625,1.0621251,0.00021493928,174551,74725755,1678,1212096,0.004563612,25.656664,55714,27449.256912708282
0.61875004,0.95313495,0.00022288393,174551,74725755,1678,1212096,0.003674754,12.104834,55715,27449.478229045868
0.55625004,1.0837516,0.00019280006,174563,74742645,1678,1212096,0.007129612,31.166256,55717,27450.105096817017
0.546875,1.2275431,0.0002025921,174563,74742645,1678,1212096,0.00803928,16.204891,55718,27451.024228334427
0.63125,0.97053367,0.00023044257,174569,74746118,1678,1212096,0.0077638933,31.35201,55719,27451.477771759033
0.65625,0.97212833,0.00021410319,174571,74746455,1678,1212096,0.0071262154,44.553406,55721,27452.53440451622
0.6375,1.0558478,0.0001375152,174571,74746455,1678,1212096,0.004713021,24.361713,55722,27452.696724414825
0.528125,1.0467469,0.0001992764,174571,74746455,1678,1212096,0.01098043,45.879395,55723,27453.152484178543
0.596875,1.0349798,0.00015288485,174576,74747771,1678,1212096,0.004502408,13.325104,55724,27453.66144299507
0.559375,1.1014026,0.00029679397,174576,74747771,1678,1212096,0.005973942,16.482613,55725,27453.84995484352
0.65000004,0.9781206,0.0002134776,174578,74748040,1678,1212096,0.005121353,15.297312,55726,27454.33682370186
0.52500004,1.2098479,0.00017639772,174580,74748535,1678,1212096,0.008109394,26.397617,55727,27454.777248620987
0.64375,0.97837603,0.00016793919,174587,74751593,1679,1213207,0.008179028,37.014637,55728,27455.226099967957
0.5625,1.1269478,0.00018213635,174588,74751696,1679,1213207,0.0075667626,24.932987,55731,27456.609850645065
0.625,0.95464337,0.00019730837,174589,74751926,1679,1213207,0.003612074,12.36936,55732,27456.928233385086
0.640625,0.8968835,0.00014752382,174589,74751926,1679,1213207,0.0075437855,44.362022,55733,27457.605878829956
0.5375,1.1933788,0.00018783657,174590,74752034,1679,1213207,0.0034607048,12.543642,55734,27458.081060409546
0.60312504,1.0524191,0.00022753,174591,74752274,1679,1213207,0.0059557324,25.860474,55735,27458.460433244705
0.49375,1.2840209,0.00029086726,174596,74755860,1679,1213207,0.004473138,21.92258,55736,27459.015273809433
